docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,,,,,,,
101,19-m.txt,10,0.219,15,0.211,11,0.096,13,0.079,14,0.061,5,0.061,6,0.053,,,,,,,,
109,197-f.txt,10,0.293,2,0.171,13,0.11,12,0.11,15,0.061,,,,,,,,,,,,
114,200-f.txt,10,0.139,7,0.139,9,0.13,12,0.113,15,0.096,6,0.087,5,0.07,13,0.052,,,,,,
119,205-m.txt,10,0.177,7,0.177,12,0.165,9,0.114,5,0.114,6,0.051,,,,,,,,,,
154,5-u.txt,10,0.272,5,0.11,4,0.105,13,0.094,6,0.089,7,0.063,3,0.063,,,,,,,,
176,7-f.txt,10,0.279,2,0.2,13,0.093,12,0.071,15,0.057,14,0.05,9,0.05,5,0.05,,,,,,
192,84-f.txt,10,0.335,12,0.108,3,0.104,2,0.104,5,0.071,11,0.066,,,,,,,,,,
196,88-m.txt,10,0.14,12,0.132,5,0.11,8,0.096,3,0.096,4,0.088,9,0.059,6,0.059,13,0.051,2,0.051,,
1,1-m.txt,9,0.398,3,0.104,6,0.1,15,0.058,12,0.058,,,,,,,,,,,,
16,112-f.txt,9,0.295,13,0.157,14,0.128,11,0.052,3,0.052,,,,,,,,,,,,
43,137-f.txt,9,0.498,3,0.092,6,0.069,12,0.057,,,,,,,,,,,,,,
56,149-f.txt,9,0.286,10,0.129,12,0.101,8,0.088,2,0.06,,,,,,,,,,,,
91,180-f.txt,9,0.254,1,0.226,14,0.107,7,0.085,12,0.056,4,0.051,3,0.051,,,,,,,,
96,185-f.txt,9,0.23,12,0.171,3,0.099,6,0.086,4,0.086,1,0.066,14,0.059,10,0.059,15,0.053,,,,
106,194-m.txt,9,0.279,6,0.13,4,0.13,2,0.104,7,0.078,12,0.065,,,,,,,,,,
131,29-m.txt,9,0.18,7,0.158,13,0.095,2,0.088,1,0.074,12,0.063,4,0.06,15,0.053,,,,,,
