docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,
46,14-m.txt,49,0.356,,,,,,,,,,,,
201,92-f.txt,49,0.211,24,0.084,27,0.062,71,0.057,22,0.057,,,,
61,153-f.txt,48,0.138,24,0.101,74,0.064,47,0.064,8,0.064,75,0.055,67,0.055
64,156-f.txt,48,0.088,16,0.088,39,0.069,33,0.069,67,0.059,,,,
112,2-f.txt,48,0.146,71,0.063,61,0.063,52,0.063,38,0.063,31,0.063,24,0.063
119,205-m.txt,48,0.165,74,0.139,54,0.076,9,0.051,,,,,,
120,206-f.txt,48,0.095,81,0.08,34,0.075,47,0.07,23,0.055,18,0.055,,
38,132-f.txt,47,0.371,49,0.054,,,,,,,,,,
14,110-m.txt,45,0.19,67,0.147,81,0.06,32,0.052,,,,,,
193,85-m.txt,44,0.447,,,,,,,,,,,,
194,86-m.txt,44,0.258,48,0.123,87,0.052,,,,,,,,
45,139-f.txt,41,0.175,61,0.112,31,0.105,1,0.084,,,,,,
84,174-f.txt,41,0.283,92,0.084,48,0.063,,,,,,,,
103,191-m.txt,41,0.413,45,0.058,58,0.051,,,,,,,,
114,200-f.txt,41,0.209,72,0.087,38,0.078,82,0.07,81,0.07,48,0.07,,
151,47-m.txt,41,0.204,53,0.116,43,0.06,35,0.053,,,,,,
16,112-f.txt,40,0.311,82,0.052,,,,,,,,,,
183,76-m.txt,40,0.333,85,0.059,,,,,,,,,,
137,34-f.txt,38,0.125,81,0.086,70,0.066,21,0.066,54,0.059,,,,
146,42-m.txt,38,0.238,87,0.2,46,0.067,82,0.057,,,,,,
25,120-m.txt,37,0.159,64,0.128,53,0.055,,,,,,,,
40,134-f.txt,37,0.441,21,0.066,42,0.057,,,,,,,,
78,169-m.txt,37,0.19,30,0.063,,,,,,,,,,
97,186-f.txt,37,0.227,48,0.092,18,0.076,,,,,,,,
9,106-f.txt,36,0.366,48,0.053,,,,,,,,,,
15,111-m.txt,36,0.296,92,0.095,39,0.071,,,,,,,,
92,181-f.txt,36,0.205,68,0.074,99,0.057,48,0.057,,,,,,
52,145-f.txt,35,0.238,75,0.105,26,0.093,,,,,,,,
150,46-m.txt,35,0.395,67,0.064,,,,,,,,,,
